[Header]
Data File Name	D:\助燃剂标准品检验\2#煤油\千分一2#煤-乙.qgd
Output Date	2018/4/17
Output Time	17:58:19

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	8700
Start Time(min)	3.000
End Time(min)	31.997
Ret.Time	Absolute Intensity	Relative Intensity
4.610	757560	13.60
4.613	887125	15.92
4.617	1028044	18.45
4.620	1161518	20.85
4.623	1265762	22.72
4.627	1335823	23.98
4.630	1355534	24.33
4.633	1305917	23.44
4.637	1201571	21.57
4.640	1063711	19.09
4.643	912735	16.38
4.647	768929	13.80
4.650	645432	11.59
4.653	551996	9.91
4.657	489963	8.80
4.660	452936	8.13
4.663	429677	7.71
4.667	414358	7.44
4.670	403333	7.24
4.673	389330	6.99
4.677	367259	6.59
4.680	341398	6.13
4.683	317268	5.70
4.687	296498	5.32
4.690	283499	5.09
4.693	279949	5.03
4.697	283494	5.09
4.700	293108	5.26
4.703	314855	5.65
4.707	350259	6.29
4.710	396458	7.12
4.713	453280	8.14
4.717	516936	9.28
4.720	586171	10.52
4.723	660877	11.86
4.727	728284	13.07
4.730	776038	13.93
4.733	803185	14.42
4.737	807751	14.50
4.740	786845	14.12
4.743	739446	13.27
4.747	672199	12.07
4.750	598724	10.75
4.753	534917	9.60
4.757	490650	8.81
4.760	468373	8.41
4.763	462754	8.31
4.767	470049	8.44
4.770	489483	8.79
4.773	515138	9.25
4.777	537260	9.64
4.780	552352	9.92
4.783	565552	10.15
4.787	577422	10.37
4.790	580777	10.43
4.793	577545	10.37
4.797	573941	10.30
4.800	565552	10.15
4.803	549865	9.87
4.807	529068	9.50
4.810	503981	9.05
4.813	477480	8.57
4.817	451045	8.10
4.820	425965	7.65
4.823	403719	7.25
4.827	385744	6.92
4.830	374461	6.72
4.833	368585	6.62
4.837	368519	6.62
4.840	370836	6.66
4.843	376517	6.76
4.847	385569	6.92
4.850	396198	7.11
4.853	408518	7.33
4.857	419695	7.53
4.860	423722	7.61
4.863	419695	7.53
4.867	412350	7.40
4.870	404578	7.26
4.873	396768	7.12
4.877	389237	6.99
4.880	383396	6.88
4.883	385846	6.93
4.887	404424	7.26
4.890	436118	7.83
4.893	477654	8.57
4.897	529022	9.50
4.900	590403	10.60
4.903	659829	11.84
4.907	733339	13.16
4.910	801989	14.40
4.913	860434	15.45
4.917	898543	16.13
4.920	904240	16.23
4.923	883750	15.86
4.927	849429	15.25
4.930	801510	14.39
4.933	745161	13.38
4.937	690061	12.39
4.940	642098	11.53
4.943	605942	10.88
4.947	577789	10.37
4.950	548745	9.85
4.953	516681	9.27
4.957	485700	8.72
4.960	458822	8.24
4.963	432176	7.76
4.967	406367	7.29
4.970	389687	7.00
4.973	385311	6.92
4.977	394916	7.09
4.980	417119	7.49
4.983	442424	7.94
4.987	469647	8.43
4.990	494284	8.87
4.993	513027	9.21
4.997	525827	9.44
5.000	525881	9.44
5.003	513223	9.21
5.007	492040	8.83
5.010	458766	8.24
5.013	417326	7.49
5.017	377738	6.78
5.020	342742	6.15
5.023	313228	5.62
5.027	290794	5.22
5.030	278226	4.99
5.033	278163	4.99
5.037	285788	5.13
5.040	297242	5.34
5.043	310437	5.57
5.047	324738	5.83
5.050	337146	6.05
5.053	344662	6.19
5.057	347531	6.24
5.060	347315	6.23
5.063	342889	6.16
5.067	339466	6.09
5.070	337179	6.05
5.073	334207	6.00
5.077	331024	5.94
5.080	328891	5.90
5.083	328974	5.91
5.087	333233	5.98
5.090	342806	6.15
5.093	355552	6.38
5.097	367521	6.60
5.100	379494	6.81
5.103	387630	6.96
5.107	391514	7.03
5.110	395055	7.09
5.113	395495	7.10
5.117	395218	7.09
5.120	394767	7.09
5.123	395233	7.09
5.127	400425	7.19
5.130	406394	7.30
5.133	412955	7.41
5.137	422917	7.59
5.140	437430	7.85
5.143	453534	8.14
5.147	469795	8.43
5.150	493030	8.85
5.153	529395	9.50
5.157	583877	10.48
5.160	659894	11.85
5.163	756615	13.58
5.167	867059	15.56
5.170	980522	17.60
5.173	1073875	19.28
5.177	1134425	20.36
5.180	1169561	20.99
5.183	1170307	21.01
5.187	1130933	20.30
5.190	1059216	19.01
5.193	972993	17.47
5.197	887895	15.94
5.200	811296	14.56
5.203	752054	13.50
5.207	710012	12.75
5.210	686116	12.32
5.213	684188	12.28
5.217	687037	12.33
5.220	684315	12.28
5.223	676158	12.14
5.227	656425	11.78
5.230	624006	11.20
5.233	582449	10.46
5.237	532081	9.55
5.240	478214	8.58
5.243	430453	7.73
5.247	391107	7.02
5.250	360078	6.46
5.253	336930	6.05
5.257	318672	5.72
5.260	309998	5.56
5.263	313909	5.63
5.267	326963	5.87
5.270	347081	6.23
5.273	378516	6.79
5.277	422554	7.59
5.280	471347	8.46
5.283	520138	9.34
5.287	566574	10.17
5.290	605210	10.86
5.293	635240	11.40
5.297	661238	11.87
5.300	679140	12.19
5.303	685137	12.30
5.307	684966	12.30
5.310	682148	12.25
5.313	677009	12.15
5.317	668192	11.99
5.320	650387	11.67
5.323	621553	11.16
5.327	588210	10.56
5.330	552385	9.92
5.333	515312	9.25
5.337	485623	8.72
5.340	469184	8.42
5.343	470510	8.45
5.347	503053	9.03
5.350	570651	10.24
5.353	664363	11.93
5.357	774021	13.89
5.360	894333	16.05
5.363	1011405	18.16
5.367	1103565	19.81
5.370	1155313	20.74
5.373	1156167	20.75
5.377	1110578	19.94
5.380	1032638	18.54
5.383	934704	16.78
5.387	833633	14.96
5.390	749284	13.45
5.393	686283	12.32
5.397	640826	11.50
5.400	610782	10.96
5.403	593636	10.66
5.407	581884	10.45
5.410	569295	10.22
5.413	551870	9.91
5.417	533961	9.58
5.420	523284	9.39
5.423	522231	9.37
5.427	533976	9.59
5.430	569485	10.22
5.433	632018	11.35
5.437	714826	12.83
5.440	810215	14.54
5.443	908028	16.30
5.447	997570	17.91
5.450	1067712	19.17
5.453	1111024	19.94
5.457	1127103	20.23
5.460	1116839	20.05
5.463	1087016	19.51
5.467	1052081	18.89
5.470	1022836	18.36
5.473	997640	17.91
5.477	977551	17.55
5.480	956593	17.17
5.483	920819	16.53
5.487	870330	15.62
5.490	811473	14.57
5.493	753250	13.52
5.497	701881	12.60
5.500	661403	11.87
5.503	642729	11.54
5.507	648116	11.63
5.510	666394	11.96
5.513	690383	12.39
5.517	718748	12.90
5.520	748977	13.44
5.523	773185	13.88
5.527	788631	14.16
5.530	791378	14.21
5.533	773183	13.88
5.537	737090	13.23
5.540	692605	12.43
5.543	641791	11.52
5.547	586765	10.53
5.550	537364	9.65
5.553	498424	8.95
5.557	469869	8.43
5.560	452221	8.12
5.563	443728	7.97
5.567	444656	7.98
5.570	455890	8.18
5.573	468218	8.40
5.577	475621	8.54
5.580	473931	8.51
5.583	466290	8.37
5.587	458018	8.22
5.590	444902	7.99
5.593	426162	7.65
5.597	411804	7.39
5.600	403766	7.25
5.603	400854	7.20
5.607	402945	7.23
5.610	407195	7.31
5.613	414074	7.43
5.617	424957	7.63
5.620	434659	7.80
5.623	445636	8.00
5.627	466597	8.38
5.630	495210	8.89
5.633	526244	9.45
5.637	560546	10.06
5.640	597781	10.73
5.643	632825	11.36
5.647	661477	11.87
5.650	678984	12.19
5.653	678984	12.19
5.657	668517	12.00
5.660	654337	11.75
5.663	633909	11.38
5.667	612484	10.99
5.670	592752	10.64
5.673	574362	10.31
5.677	562450	10.10
5.680	560276	10.06
5.683	568227	10.20
5.687	587774	10.55
5.690	615709	11.05
5.693	648787	11.65
5.697	683853	12.28
5.700	715673	12.85
5.703	741290	13.31
5.707	759631	13.64
5.710	766012	13.75
5.713	767473	13.78
5.717	776324	13.94
5.720	791120	14.20
5.723	812836	14.59
5.727	843362	15.14
5.730	880660	15.81
5.733	920769	16.53
5.737	964470	17.31
5.740	1016374	18.24
5.743	1071545	19.23
5.747	1122303	20.15
5.750	1160257	20.83
5.753	1174630	21.09
5.757	1167945	20.97
5.760	1144930	20.55
5.763	1107765	19.89
5.767	1061538	19.06
5.770	1012318	18.17
5.773	973549	17.48
5.777	946948	17.00
5.780	920070	16.52
5.783	895212	16.07
5.787	884148	15.87
5.790	887857	15.94
5.793	901874	16.19
5.797	924223	16.59
5.800	956152	17.16
5.803	995195	17.86
5.807	1025726	18.41
5.810	1042991	18.72
5.813	1051852	18.88
5.817	1044721	18.75
5.820	1012416	18.17
5.823	962857	17.28
5.827	908111	16.30
5.830	852514	15.30
5.833	798873	14.34
5.837	752094	13.50
5.840	712374	12.79
5.843	681890	12.24
5.847	662458	11.89
5.850	649381	11.66
5.853	637271	11.44
5.857	621724	11.16
5.860	603651	10.84
5.863	588302	10.56
5.867	572438	10.28
5.870	554172	9.95
5.873	544717	9.78
5.877	554603	9.96
5.880	578538	10.39
5.883	613333	11.01
5.887	657769	11.81
5.890	708727	12.72
5.893	760309	13.65
5.897	804541	14.44
5.900	837141	15.03
5.903	850040	15.26
5.907	844512	15.16
5.910	831056	14.92
5.913	812675	14.59
5.917	791259	14.20
5.920	766813	13.76
5.923	739235	13.27
5.927	708756	12.72
5.930	674775	12.11
5.933	637072	11.44
5.937	600156	10.77
5.940	572217	10.27
5.943	556900	10.00
5.947	557778	10.01
5.950	588413	10.56
5.953	679981	12.21
5.957	866711	15.56
5.960	1169664	21.00
5.963	1607691	28.86
5.967	2190566	39.32
5.970	2884230	51.77
5.973	3621643	65.01
5.977	4335541	77.83
5.980	4952077	88.89
5.983	5386604	96.69
5.987	5570821	100.00
5.990	5514018	98.98
5.993	5237430	94.02
5.997	4704967	84.46
6.000	3961722	71.12
6.003	3173903	56.97
6.007	2469475	44.33
6.010	1888261	33.90
6.013	1455192	26.12
6.017	1173203	21.06
6.020	1004919	18.04
6.023	906567	16.27
6.027	843350	15.14
6.030	793865	14.25
6.033	758532	13.62
6.037	738713	13.26
6.040	730323	13.11
6.043	735303	13.20
6.047	758786	13.62
6.050	800201	14.36
6.053	851468	15.28
6.057	903592	16.22
6.060	946563	16.99
6.063	975151	17.50
6.067	993620	17.84
6.070	1006004	18.06
6.073	1002197	17.99
6.077	970956	17.43
6.080	922945	16.57
6.083	874230	15.69
6.087	822001	14.76
6.090	758986	13.62
6.093	694172	12.46
6.097	632373	11.35
6.100	573311	10.29
6.103	520403	9.34
6.107	474731	8.52
6.110	438593	7.87
6.113	413976	7.43
6.117	400163	7.18
6.120	396821	7.12
6.123	408941	7.34
6.127	435705	7.82
6.130	471876	8.47
6.133	516768	9.28
6.137	573250	10.29
6.140	637578	11.44
6.143	696978	12.51
6.147	745962	13.39
6.150	776206	13.93
6.153	774187	13.90
6.157	748579	13.44
6.160	709869	12.74
6.163	663398	11.91
6.167	615107	11.04
6.170	570893	10.25
6.173	538446	9.67
6.177	520466	9.34
6.180	520072	9.34
6.183	532346	9.56
6.187	551699	9.90
6.190	576641	10.35
6.193	602170	10.81
6.197	619256	11.12
6.200	632662	11.36
6.203	646002	11.60
6.207	650825	11.68
6.210	644323	11.57
6.213	637262	11.44
6.217	637271	11.44
6.220	640927	11.51
6.223	643898	11.56
6.227	648124	11.63
6.230	655372	11.76
6.233	662020	11.88
6.237	671432	12.05
6.240	689701	12.38
6.243	710220	12.75
6.247	728629	13.08
6.250	748370	13.43
6.253	767629	13.78
6.257	784565	14.08
6.260	790230	14.19
6.263	776456	13.94
6.267	748646	13.44
6.270	721340	12.95
6.273	699542	12.56
6.277	680261	12.21
6.280	662446	11.89
6.283	647962	11.63
6.287	637741	11.45
6.290	634625	11.39
6.293	634965	11.40
6.297	635326	11.40
6.300	635355	11.41
6.303	633829	11.38
6.307	627373	11.26
6.310	619996	11.13
6.313	609459	10.94
6.317	593195	10.65
6.320	574175	10.31
6.323	552927	9.93
6.327	532500	9.56
6.330	522852	9.39
6.333	529015	9.50
6.337	553089	9.93
6.340	598785	10.75
6.343	659700	11.84
6.347	725052	13.02
6.350	789929	14.18
6.353	845537	15.18
6.357	877012	15.74
6.360	879582	15.79
6.363	864980	15.53
6.367	846754	15.20
6.370	828503	14.87
6.373	817321	14.67
6.377	828518	14.87
6.380	872220	15.66
6.383	948183	17.02
6.387	1047415	18.80
6.390	1156266	20.76
6.393	1253538	22.50
6.397	1323215	23.75
6.400	1365934	24.52
6.403	1381931	24.81
6.407	1381182	24.79
6.410	1384496	24.85
6.413	1405096	25.22
6.417	1422299	25.53
6.420	1408838	25.29
6.423	1364558	24.49
6.427	1298034	23.30
6.430	1206618	21.66
6.433	1086381	19.50
6.437	957676	17.19
6.440	843732	15.15
6.443	746693	13.40
6.447	666864	11.97
6.450	600246	10.77
6.453	541408	9.72
6.457	496750	8.92
6.460	462639	8.30
6.463	435428	7.82
6.467	416677	7.48
6.470	406347	7.29
6.473	406546	7.30
6.477	418088	7.50
6.480	432021	7.76
6.483	442603	7.95
6.487	449828	8.07
6.490	454096	8.15
