[Header]
Data File Name	D:\助燃剂标准品检验\2#煤油\千分一2#煤-乙.qgd
Output Date	2018/4/17
Output Time	17:58:19

[MS Chromatogram]
m/z	1-1 TIC
Event Time(msec)	200
# of Points	8700
Start Time(min)	3.000
End Time(min)	31.997
Ret.Time	Absolute Intensity	Relative Intensity
11.180	239277	4.30
11.183	235866	4.23
11.187	227603	4.09
11.190	216016	3.88
11.193	201610	3.62
11.197	187977	3.37
11.200	178160	3.20
11.203	175372	3.15
11.207	179265	3.22
11.210	191413	3.44
11.213	210008	3.77
11.217	231527	4.16
11.220	252721	4.54
11.223	270758	4.86
11.227	280963	5.04
11.230	285827	5.13
11.233	291329	5.23
11.237	300462	5.39
11.240	312680	5.61
11.243	325462	5.84
11.247	339589	6.10
11.250	355879	6.39
11.253	370300	6.65
11.257	375597	6.74
11.260	369582	6.63
11.263	357184	6.41
11.267	337049	6.05
11.270	311462	5.59
11.273	288174	5.17
11.277	271844	4.88
11.280	262917	4.72
11.283	262347	4.71
11.287	270479	4.86
11.290	286212	5.14
11.293	308746	5.54
11.297	334780	6.01
11.300	357493	6.42
11.303	376909	6.77
11.307	401625	7.21
11.310	442769	7.95
11.313	513816	9.22
11.317	628410	11.28
11.320	794373	14.26
11.323	1001942	17.99
11.327	1205068	21.63
11.330	1347879	24.20
11.333	1399264	25.12
11.337	1349602	24.23
11.340	1197598	21.50
11.343	974908	17.50
11.347	738314	13.25
11.350	529551	9.51
11.353	374158	6.72
11.357	280888	5.04
11.360	243062	4.36
11.363	253206	4.55
11.367	304167	5.46
11.370	393173	7.06
11.373	507818	9.12
11.377	620271	11.13
11.380	702438	12.61
11.383	738715	13.26
11.387	717812	12.89
11.390	644806	11.57
11.393	540700	9.71
11.397	430267	7.72
11.400	336666	6.04
11.403	270822	4.86
11.407	227806	4.09
11.410	200096	3.59
11.413	183016	3.29
11.417	171881	3.09
11.420	161500	2.90
11.423	153171	2.75
11.427	146404	2.63
11.430	140170	2.52
11.433	136700	2.45
11.437	137872	2.47
11.440	144627	2.60
11.443	156164	2.80
11.447	172016	3.09
11.450	194126	3.48
11.453	222638	4.00
11.457	261780	4.70
11.460	310444	5.57
11.463	364500	6.54
11.467	421367	7.56
11.470	473079	8.49
11.473	507077	9.10
11.477	510675	9.17
11.480	482991	8.67
11.483	428481	7.69
11.487	358792	6.44
11.490	294838	5.29
11.493	247463	4.44
11.497	214302	3.85
11.500	194034	3.48
11.503	182808	3.28
11.507	175211	3.15
11.510	168049	3.02
11.513	160786	2.89
11.517	153808	2.76
11.520	150567	2.70
11.523	149215	2.68
11.527	149389	2.68
11.530	153377	2.75
11.533	157378	2.83
11.537	160816	2.89
11.540	165247	2.97
11.543	171041	3.07
11.547	175115	3.14
11.550	175522	3.15
11.553	178777	3.21
11.557	186583	3.35
11.560	202545	3.64
11.563	227674	4.09
11.567	266013	4.78
11.570	316450	5.68
11.573	375607	6.74
11.577	434005	7.79
11.580	474208	8.51
11.583	484730	8.70
11.587	469983	8.44
11.590	435791	7.82
11.593	384045	6.89
11.597	323264	5.80
11.600	266089	4.78
11.603	220593	3.96
11.607	189881	3.41
11.610	170867	3.07
11.613	156965	2.82
11.617	146809	2.64
11.620	142230	2.55
11.623	140477	2.52
11.627	136544	2.45
11.630	131643	2.36
11.633	128202	2.30
11.637	126701	2.27
11.640	123734	2.22
11.643	120397	2.16
11.647	119415	2.14
11.650	119669	2.15
11.653	121051	2.17
11.657	123731	2.22
11.660	126651	2.27
11.663	130941	2.35
11.667	134396	2.41
11.670	137585	2.47
11.673	142070	2.55
11.677	146362	2.63
11.680	149094	2.68
11.683	150771	2.71
11.687	151432	2.72
11.690	150654	2.70
11.693	148978	2.67
11.697	146753	2.63
11.700	142813	2.56
11.703	138164	2.48
11.707	136575	2.45
11.710	136484	2.45
11.713	137833	2.47
11.717	144220	2.59
11.720	155419	2.79
11.723	170730	3.06
11.727	190484	3.42
11.730	210452	3.78
11.733	227518	4.08
11.737	238158	4.28
11.740	239427	4.30
11.743	230285	4.13
11.747	213284	3.83
11.750	194188	3.49
11.753	177429	3.18
11.757	165042	2.96
11.760	156229	2.80
11.763	151901	2.73
11.767	150737	2.71
11.770	149586	2.69
11.773	149493	2.68
11.777	150395	2.70
11.780	151787	2.72
11.783	152326	2.73
11.787	151573	2.72
11.790	149291	2.68
11.793	147828	2.65
11.797	145477	2.61
11.800	144381	2.59
11.803	145044	2.60
11.807	149187	2.68
11.810	156184	2.80
11.813	168137	3.02
11.817	181659	3.26
11.820	196458	3.53
11.823	219912	3.95
11.827	261290	4.69
11.830	342034	6.14
11.833	497176	8.92
11.837	769951	13.82
11.840	1185730	21.28
11.843	1712473	30.74
11.847	2306951	41.41
11.850	2909768	52.23
11.853	3348894	60.11
11.857	3520069	63.19
11.860	3432801	61.62
11.863	3058539	54.90
11.867	2458973	44.14
11.870	1810624	32.50
11.873	1235752	22.18
11.877	791429	14.21
11.880	500426	8.98
11.883	341796	6.14
11.887	267288	4.80
11.890	235446	4.23
11.893	223365	4.01
11.897	221028	3.97
11.900	221924	3.98
11.903	223330	4.01
11.907	224325	4.03
11.910	224478	4.03
11.913	221413	3.97
11.917	215635	3.87
11.920	210202	3.77
11.923	205473	3.69
11.927	201567	3.62
11.930	199278	3.58
11.933	198972	3.57
11.937	200767	3.60
11.940	200902	3.61
11.943	198843	3.57
11.947	194839	3.50
11.950	190731	3.42
11.953	187100	3.36
11.957	182891	3.28
11.960	176554	3.17
11.963	172577	3.10
11.967	170386	3.06
11.970	165269	2.97
11.973	158600	2.85
11.977	153839	2.76
11.980	152636	2.74
11.983	152419	2.74
11.987	152531	2.74
11.990	153753	2.76
11.993	153532	2.76
11.997	152433	2.74
12.000	148963	2.67
12.003	145478	2.61
12.007	144253	2.59
12.010	144320	2.59
12.013	146218	2.62
12.017	152469	2.74
12.020	158745	2.85
12.023	165409	2.97
12.027	172199	3.09
12.030	176293	3.16
12.033	176333	3.17
12.037	173067	3.11
12.040	168805	3.03
12.043	164928	2.96
12.047	160794	2.89
12.050	156622	2.81
12.053	152378	2.74
12.057	148836	2.67
12.060	146226	2.62
12.063	145303	2.61
12.067	143737	2.58
12.070	141737	2.54
12.073	142150	2.55
12.077	144876	2.60
12.080	148509	2.67
12.083	152472	2.74
12.087	158768	2.85
12.090	165601	2.97
12.093	171456	3.08
12.097	176125	3.16
12.100	180216	3.23
12.103	184453	3.31
12.107	188029	3.38
12.110	190495	3.42
12.113	191004	3.43
12.117	191476	3.44
12.120	190572	3.42
12.123	186112	3.34
12.127	179534	3.22
12.130	171488	3.08
12.133	164538	2.95
12.137	157009	2.82
12.140	152282	2.73
12.143	148929	2.67
12.147	146552	2.63
12.150	144236	2.59
12.153	141912	2.55
12.157	138732	2.49
12.160	136017	2.44
12.163	132328	2.38
12.167	130789	2.35
12.170	130849	2.35
12.173	130962	2.35
12.177	132644	2.38
12.180	136592	2.45
12.183	142081	2.55
12.187	148924	2.67
12.190	155452	2.79
12.193	160672	2.88
12.197	164264	2.95
12.200	165321	2.97
12.203	165669	2.97
12.207	165732	2.98
12.210	166487	2.99
12.213	168537	3.03
12.217	169303	3.04
12.220	168495	3.02
12.223	164044	2.94
12.227	156159	2.80
12.230	146510	2.63
12.233	136618	2.45
12.237	129155	2.32
12.240	123889	2.22
12.243	119918	2.15
12.247	118040	2.12
12.250	119804	2.15
12.253	123844	2.22
12.257	131199	2.36
12.260	141626	2.54
12.263	154036	2.77
12.267	167650	3.01
12.270	180342	3.24
12.273	189859	3.41
12.277	190488	3.42
12.280	186450	3.35
12.283	180248	3.24
12.287	169921	3.05
12.290	156660	2.81
12.293	143208	2.57
12.297	134150	2.41
12.300	129104	2.32
12.303	124914	2.24
12.307	122298	2.20
12.310	122245	2.19
12.313	124367	2.23
12.317	127587	2.29
12.320	131911	2.37
12.323	136602	2.45
12.327	141378	2.54
12.330	147431	2.65
12.333	152362	2.74
12.337	153382	2.75
12.340	154924	2.78
12.343	158113	2.84
12.347	162517	2.92
12.350	167556	3.01
12.353	173932	3.12
12.357	180056	3.23
12.360	184886	3.32
12.363	189851	3.41
12.367	191928	3.45
12.370	189824	3.41
12.373	183147	3.29
12.377	174099	3.13
12.380	164521	2.95
12.383	152739	2.74
12.387	141488	2.54
12.390	133097	2.39
12.393	128413	2.31
12.397	125874	2.26
12.400	125877	2.26
12.403	130277	2.34
12.407	139157	2.50
12.410	149493	2.68
12.413	159431	2.86
12.417	172505	3.10
12.420	186745	3.35
12.423	198082	3.56
12.427	204763	3.68
12.430	205354	3.69
12.433	204535	3.67
12.437	204969	3.68
12.440	209640	3.76
12.443	218264	3.92
12.447	229039	4.11
12.450	238212	4.28
12.453	241174	4.33
12.457	235167	4.22
12.460	219898	3.95
12.463	200779	3.60
12.467	182661	3.28
12.470	170020	3.05
12.473	165051	2.96
12.477	167325	3.00
12.480	180421	3.24
12.483	205076	3.68
12.487	238178	4.28
12.490	274134	4.92
12.493	310575	5.58
12.497	342132	6.14
12.500	362240	6.50
12.503	368555	6.62
12.507	359879	6.46
12.510	331506	5.95
12.513	290262	5.21
12.517	248472	4.46
12.520	209714	3.76
12.523	177795	3.19
12.527	154899	2.78
12.530	139565	2.51
12.533	130634	2.34
12.537	127259	2.28
12.540	127611	2.29
12.543	131353	2.36
12.547	138518	2.49
12.550	152291	2.73
12.553	176212	3.16
12.557	209692	3.76
12.560	248791	4.47
12.563	290123	5.21
12.567	326979	5.87
12.570	350801	6.30
12.573	355734	6.39
12.577	342676	6.15
12.580	319926	5.74
12.583	298034	5.35
12.587	283049	5.08
12.590	275967	4.95
12.593	271011	4.86
12.597	260445	4.68
12.600	243368	4.37
12.603	222827	4.00
12.607	202284	3.63
12.610	186095	3.34
12.613	177531	3.19
12.617	179545	3.22
12.620	191263	3.43
12.623	212626	3.82
12.627	243379	4.37
12.630	285111	5.12
12.633	342521	6.15
12.637	416566	7.48
12.640	502188	9.01
12.643	588172	10.56
12.647	650418	11.68
12.650	663211	11.91
12.653	623166	11.19
12.657	546614	9.81
12.660	451772	8.11
12.663	354194	6.36
12.667	268856	4.83
12.670	204490	3.67
12.673	163505	2.94
12.677	139975	2.51
12.680	126638	2.27
12.683	122243	2.19
12.687	124731	2.24
12.690	129470	2.32
12.693	135513	2.43
12.697	142628	2.56
12.700	149321	2.68
12.703	153160	2.75
12.707	151762	2.72
12.710	147761	2.65
12.713	146768	2.63
12.717	147555	2.65
12.720	153202	2.75
12.723	170041	3.05
12.727	199371	3.58
12.730	236999	4.25
12.733	276493	4.96
12.737	304844	5.47
12.740	316912	5.69
12.743	307116	5.51
12.747	276586	4.96
12.750	236985	4.25
12.753	197367	3.54
12.757	163615	2.94
12.760	138001	2.48
12.763	122569	2.20
12.767	115325	2.07
12.770	113400	2.04
12.773	115175	2.07
12.777	118710	2.13
12.780	124619	2.24
12.783	134449	2.41
12.787	146055	2.62
12.790	155970	2.80
12.793	163642	2.94
12.797	167226	3.00
12.800	167225	3.00
12.803	162733	2.92
12.807	155082	2.78
12.810	149375	2.68
12.813	145799	2.62
12.817	143850	2.58
12.820	143730	2.58
12.823	143597	2.58
12.827	140955	2.53
12.830	137371	2.47
12.833	133133	2.39
12.837	132337	2.38
12.840	134988	2.42
12.843	140587	2.52
12.847	147159	2.64
12.850	155224	2.79
12.853	160259	2.88
12.857	163965	2.94
12.860	164054	2.94
12.863	160025	2.87
12.867	152199	2.73
12.870	145122	2.61
12.873	143353	2.57
12.877	143682	2.58
12.880	144455	2.59
12.883	144354	2.59
12.887	143754	2.58
12.890	143695	2.58
12.893	142286	2.55
12.897	135948	2.44
12.900	127685	2.29
12.903	119628	2.15
12.907	113934	2.05
12.910	110948	1.99
12.913	108968	1.96
12.917	107704	1.93
12.920	106693	1.92
12.923	107942	1.94
12.927	108786	1.95
12.930	108496	1.95
12.933	108123	1.94
12.937	108326	1.94
12.940	108044	1.94
12.943	108096	1.94
12.947	110670	1.99
12.950	112742	2.02
12.953	113677	2.04
12.957	114957	2.06
12.960	115797	2.08
12.963	116928	2.10
12.967	118313	2.12
12.970	116284	2.09
12.973	113730	2.04
12.977	110524	1.98
12.980	108461	1.95
12.983	107827	1.94
12.987	105569	1.90
12.990	102254	1.84
12.993	99529	1.79
12.997	99181	1.78
13.000	99605	1.79
13.003	100401	1.80
13.007	101833	1.83
13.010	103637	1.86
13.013	105541	1.89
13.017	105730	1.90
13.020	105849	1.90
13.023	105315	1.89
13.027	104221	1.87
13.030	103855	1.86
13.033	102962	1.85
13.037	102076	1.83
13.040	102346	1.84
13.043	103714	1.86
13.047	105905	1.90
13.050	109956	1.97
13.053	113415	2.04
13.057	116033	2.08
13.060	119742	2.15
13.063	125442	2.25
13.067	139673	2.51
13.070	177072	3.18
13.073	265573	4.77
13.077	439855	7.90
13.080	720907	12.94
13.083	1117028	20.05
13.087	1595149	28.63
13.090	2051675	36.83
13.093	2386639	42.84
13.097	2545966	45.70
13.100	2504531	44.96
13.103	2260696	40.58
13.107	1848948	33.19
13.110	1365712	24.52
13.113	922353	16.56
13.117	583215	10.47
13.120	358378	6.43
13.123	226591	4.07
13.127	161656	2.90
13.130	134445	2.41
13.133	124459	2.23
13.137	122988	2.21
13.140	124868	2.24
13.143	128823	2.31
13.147	134458	2.41
13.150	142580	2.56
13.153	154043	2.77
13.157	168025	3.02
13.160	180016	3.23
13.163	186932	3.36
13.167	190813	3.43
13.170	192981	3.46
13.173	190815	3.43
13.177	184511	3.31
13.180	178072	3.20
13.183	171121	3.07
13.187	163580	2.94
13.190	155404	2.79
13.193	149444	2.68
13.197	146312	2.63
13.200	143056	2.57
13.203	140541	2.52
13.207	139024	2.50
13.210	134945	2.42
13.213	128934	2.31
13.217	124696	2.24
13.220	121707	2.18
13.223	117330	2.11
13.227	111655	2.00
13.230	105711	1.90
13.233	101358	1.82
13.237	97286	1.75
13.240	94989	1.71
13.243	95095	1.71
13.247	97084	1.74
13.250	97313	1.75
13.253	98214	1.76
13.257	101460	1.82
13.260	105718	1.90
13.263	109770	1.97
13.267	114177	2.05
13.270	116610	2.09
13.273	116446	2.09
13.277	116002	2.08
13.280	117182	2.10
13.283	117731	2.11
13.287	115221	2.07
13.290	112208	2.01
13.293	110562	1.98
13.297	109750	1.97
13.300	109628	1.97
13.303	110739	1.99
13.307	115074	2.07
13.310	120843	2.17
13.313	125740	2.26
13.317	128637	2.31
13.320	128641	2.31
13.323	125978	2.26
13.327	124003	2.23
13.330	121164	2.17
13.333	117898	2.12
13.337	114950	2.06
13.340	112133	2.01
13.343	110833	1.99
13.347	110297	1.98
13.350	109943	1.97
13.353	110260	1.98
13.357	111977	2.01
13.360	112742	2.02
13.363	112131	2.01
13.367	110407	1.98
13.370	109290	1.96
13.373	108063	1.94
13.377	106163	1.91
13.380	104274	1.87
13.383	100310	1.80
13.387	97841	1.76
13.390	97995	1.76
13.393	100063	1.80
13.397	100269	1.80
13.400	101869	1.83
13.403	105777	1.90
13.407	109015	1.96
13.410	110943	1.99
13.413	113180	2.03
13.417	116032	2.08
13.420	117978	2.12
13.423	115932	2.08
13.427	112164	2.01
13.430	109097	1.96
13.433	105590	1.90
13.437	100312	1.80
13.440	97287	1.75
13.443	95300	1.71
13.447	94841	1.70
13.450	95204	1.71
13.453	95839	1.72
13.457	95447	1.71
13.460	94810	1.70
13.463	92823	1.67
13.467	92488	1.66
13.470	92367	1.66
13.473	92458	1.66
13.477	94112	1.69
13.480	97468	1.75
13.483	102312	1.84
13.487	106027	1.90
13.490	108336	1.94
13.493	110661	1.99
13.497	112733	2.02
13.500	112745	2.02
13.503	110638	1.99
13.507	106123	1.90
13.510	100038	1.80
13.513	93897	1.69
13.517	89140	1.60
13.520	86129	1.55
13.523	82546	1.48
13.527	79588	1.43
13.530	78860	1.42
13.533	78990	1.42
13.537	79353	1.42
13.540	79533	1.43
13.543	82396	1.48
13.547	85882	1.54
13.550	86678	1.56
13.553	88971	1.60
13.557	91995	1.65
13.560	94006	1.69
13.563	95920	1.72
13.567	97288	1.75
13.570	97364	1.75
13.573	97077	1.74
13.577	96548	1.73
13.580	96231	1.73
13.583	96266	1.73
13.587	94957	1.70
13.590	92060	1.65
13.593	91838	1.65
13.597	93922	1.69
13.600	99859	1.79
13.603	107456	1.93
13.607	117985	2.12
13.610	133372	2.39
13.613	157550	2.83
13.617	195013	3.50
13.620	247910	4.45
13.623	318876	5.72
13.627	410028	7.36
13.630	512345	9.20
13.633	614061	11.02
13.637	707069	12.69
13.640	778726	13.98
13.643	807604	14.50
13.647	789995	14.18
13.650	731708	13.13
13.653	635945	11.42
13.657	515407	9.25
13.660	395137	7.09
13.663	290548	5.22
13.667	208819	3.75
13.670	152436	2.74
13.673	118164	2.12
13.677	103569	1.86
13.680	99984	1.79
13.683	100071	1.80
13.687	103472	1.86
13.690	107625	1.93
13.693	110733	1.99
13.697	112498	2.02
13.700	112573	2.02
13.703	109561	1.97
13.707	103897	1.87
13.710	99313	1.78
13.713	96226	1.73
13.717	94274	1.69
13.720	92241	1.66
13.723	89902	1.61
13.727	89251	1.60
13.730	88079	1.58
13.733	88107	1.58
13.737	88256	1.58
13.740	88743	1.59
13.743	90399	1.62
13.747	93207	1.67
13.750	98358	1.77
13.753	103983	1.87
13.757	110462	1.98
13.760	121838	2.19
13.763	135880	2.44
13.767	147381	2.65
13.770	154443	2.77
13.773	154569	2.77
13.777	148901	2.67
13.780	136637	2.45
13.783	121859	2.19
13.787	108680	1.95
13.790	100483	1.80
13.793	96339	1.73
13.797	96411	1.73
13.800	100795	1.81
13.803	108175	1.94
13.807	115596	2.08
13.810	121415	2.18
13.813	123145	2.21
13.817	122378	2.20
13.820	118616	2.13
13.823	116194	2.09
13.827	122206	2.19
13.830	139770	2.51
13.833	170105	3.05
13.837	213145	3.83
13.840	260498	4.68
13.843	297191	5.33
13.847	315618	5.67
13.850	314872	5.65
13.853	293164	5.26
13.857	255845	4.59
13.860	210771	3.78
13.863	170106	3.05
13.867	142656	2.56
13.870	125834	2.26
13.873	116566	2.09
13.877	113278	2.03
13.880	110963	1.99
13.883	108367	1.95
13.887	106801	1.92
13.890	104542	1.88
13.893	100636	1.81
13.897	96746	1.74
13.900	93212	1.67
13.903	89214	1.60
13.907	88044	1.58
13.910	88432	1.59
13.913	89231	1.60
13.917	94926	1.70
13.920	105026	1.89
13.923	119378	2.14
13.927	137139	2.46
13.930	152525	2.74
13.933	162093	2.91
13.937	163035	2.93
13.940	155071	2.78
13.943	138677	2.49
13.947	119419	2.14
13.950	103523	1.86
13.953	92007	1.65
13.957	84554	1.52
13.960	78658	1.41
13.963	75754	1.36
13.967	75009	1.35
13.970	74816	1.34
13.973	75497	1.36
13.977	79292	1.42
13.980	85033	1.53
13.983	92052	1.65
13.987	100153	1.80
13.990	105555	1.89
13.993	108088	1.94
13.997	109869	1.97
14.000	110032	1.98
14.003	107578	1.93
14.007	100530	1.80
14.010	93162	1.67
14.013	88393	1.59
14.017	84629	1.52
14.020	80654	1.45
14.023	76929	1.38
14.027	75557	1.36
14.030	75330	1.35
14.033	76082	1.37
14.037	76616	1.38
14.040	76445	1.37
14.043	76498	1.37
14.047	76830	1.38
14.050	78222	1.40
14.053	80759	1.45
14.057	85036	1.53
14.060	89813	1.61
14.063	91215	1.64
14.067	91528	1.64
14.070	91915	1.65
14.073	91386	1.64
14.077	89536	1.61
14.080	88432	1.59
14.083	88860	1.60
14.087	90376	1.62
14.090	92226	1.66
14.093	92732	1.66
14.097	91421	1.64
14.100	91015	1.63
14.103	91154	1.64
14.107	90782	1.63
14.110	90459	1.62
14.113	90942	1.63
14.117	91919	1.65
14.120	93826	1.68
14.123	95904	1.72
14.127	96631	1.73
14.130	96669	1.74
14.133	96063	1.72
14.137	91930	1.65
14.140	87853	1.58
14.143	85141	1.53
14.147	85496	1.53
14.150	92059	1.65
14.153	107460	1.93
14.157	128089	2.30
14.160	153198	2.75
14.163	180288	3.24
14.167	202660	3.64
14.170	216768	3.89
14.173	218468	3.92
14.177	206221	3.70
14.180	183473	3.29
14.183	156279	2.81
14.187	129627	2.33
14.190	107561	1.93
14.193	91389	1.64
14.197	81049	1.45
14.200	75931	1.36
14.203	73433	1.32
14.207	71306	1.28
14.210	70918	1.27
14.213	70931	1.27
14.217	71348	1.28
14.220	72996	1.31
14.223	74676	1.34
14.227	75488	1.36
14.230	75003	1.35
14.233	74272	1.33
14.237	74298	1.33
14.240	77223	1.39
14.243	91956	1.65
14.247	130207	2.34
14.250	206439	3.71
14.253	337294	6.05
14.257	532941	9.57
14.260	780123	14.00
14.263	1039099	18.65
14.267	1267328	22.75
14.270	1419957	25.49
14.273	1451589	26.06
14.277	1364389	24.49
14.280	1200411	21.55
14.283	1026443	18.43
14.287	909471	16.33
14.290	872875	15.67
14.293	894970	16.07
14.297	944436	16.95
14.300	991241	17.79
14.303	1001720	17.98
14.307	966073	17.34
14.310	888744	15.95
14.313	769791	13.82
14.317	622680	11.18
14.320	469061	8.42
14.323	329910	5.92
14.327	224769	4.03
14.330	156895	2.82
14.333	117642	2.11
14.337	97843	1.76
14.340	89622	1.61
14.343	86003	1.54
14.347	85335	1.53
14.350	85599	1.54
14.353	85290	1.53
14.357	82854	1.49
14.360	81538	1.46
14.363	81268	1.46
14.367	81236	1.46
14.370	82818	1.49
14.373	85700	1.54
14.377	86103	1.55
14.380	85288	1.53
14.383	85574	1.54
14.387	85945	1.54
14.390	84727	1.52
14.393	81181	1.46
14.397	76245	1.37
14.400	72212	1.30
14.403	71642	1.29
14.407	70035	1.26
14.410	67671	1.21
14.413	68083	1.22
14.417	70259	1.26
14.420	72018	1.29
14.423	71935	1.29
14.427	69741	1.25
14.430	67864	1.22
14.433	66814	1.20
14.437	66516	1.19
14.440	66585	1.20
14.443	66000	1.18
14.447	64424	1.16
14.450	63864	1.15
14.453	63475	1.14
14.457	63577	1.14
14.460	63932	1.15
14.463	63898	1.15
14.467	63695	1.14
14.470	63964	1.15
14.473	65509	1.18
14.477	67538	1.21
14.480	68197	1.22
14.483	67930	1.22
14.487	68401	1.23
14.490	70307	1.26
14.493	71254	1.28
14.497	72321	1.30
14.500	72654	1.30
14.503	72173	1.30
14.507	71721	1.29
14.510	72241	1.30
14.513	72606	1.30
14.517	72551	1.30
14.520	72581	1.30
14.523	73092	1.31
14.527	74245	1.33
14.530	74334	1.33
14.533	74301	1.33
14.537	73128	1.31
14.540	70651	1.27
14.543	68365	1.23
14.547	68550	1.23
14.550	69975	1.26
14.553	71027	1.27
14.557	72685	1.30
14.560	76323	1.37
14.563	79467	1.43
14.567	82274	1.48
14.570	85104	1.53
14.573	85436	1.53
14.577	85443	1.53
14.580	85256	1.53
14.583	83349	1.50
14.587	81523	1.46
14.590	79465	1.43
14.593	76483	1.37
14.597	74335	1.33
14.600	72960	1.31
14.603	71809	1.29
14.607	69292	1.24
14.610	66565	1.19
14.613	64576	1.16
14.617	64363	1.16
14.620	63886	1.15
14.623	61865	1.11
14.627	61656	1.11
14.630	62867	1.13
14.633	63777	1.14
14.637	65977	1.18
14.640	69111	1.24
14.643	72957	1.31
14.647	77173	1.39
14.650	81128	1.46
14.653	83165	1.49
14.657	83330	1.50
14.660	82319	1.48
14.663	79264	1.42
14.667	76763	1.38
14.670	76132	1.37
14.673	76532	1.37
14.677	78749	1.41
14.680	81241	1.46
14.683	82403	1.48
14.687	83288	1.50
14.690	85407	1.53
14.693	86579	1.55
14.697	86998	1.56
14.700	85786	1.54
14.703	83425	1.50
14.707	82303	1.48
14.710	80874	1.45
14.713	78266	1.40
14.717	75566	1.36
14.720	74257	1.33
14.723	75689	1.36
14.727	78669	1.41
14.730	83097	1.49
14.733	90213	1.62
14.737	97475	1.75
14.740	104156	1.87
14.743	108730	1.95
14.747	108722	1.95
14.750	108297	1.94
14.753	105954	1.90
14.757	102310	1.84
14.760	96449	1.73
14.763	88584	1.59
14.767	82095	1.47
14.770	76523	1.37
14.773	71501	1.28
14.777	68125	1.22
14.780	67710	1.22
14.783	67900	1.22
14.787	68131	1.22
14.790	68212	1.22
14.793	67982	1.22
14.797	67259	1.21
14.800	65287	1.17
14.803	64062	1.15
14.807	63184	1.13
14.810	63275	1.14
14.813	65669	1.18
14.817	68193	1.22
14.820	69741	1.25
14.823	71702	1.29
14.827	74884	1.34
14.830	77369	1.39
14.833	77771	1.40
14.837	77340	1.39
14.840	73873	1.33
14.843	68877	1.24
14.847	66359	1.19
14.850	63636	1.14
14.853	61659	1.11
14.857	61081	1.10
14.860	61017	1.10
14.863	61275	1.10
14.867	62179	1.12
14.870	62882	1.13
14.873	63609	1.14
14.877	63095	1.13
14.880	61736	1.11
14.883	61660	1.11
14.887	62998	1.13
14.890	64374	1.16
14.893	66264	1.19
14.897	68737	1.23
14.900	72807	1.31
14.903	75345	1.35
14.907	77573	1.39
14.910	79661	1.43
14.913	79671	1.43
14.917	78256	1.40
14.920	74982	1.35
14.923	71815	1.29
14.927	67888	1.22
14.930	65368	1.17
14.933	62833	1.13
14.937	58720	1.05
14.940	57750	1.04
14.943	57772	1.04
14.947	57837	1.04
14.950	57778	1.04
14.953	57775	1.04
14.957	58619	1.05
14.960	61869	1.11
14.963	67105	1.20
14.967	74466	1.34
14.970	85365	1.53
14.973	102349	1.84
14.977	118548	2.13
14.980	128469	2.31
14.983	132005	2.37
14.987	127880	2.30
14.990	118720	2.13
14.993	106896	1.92
14.997	92500	1.66
15.000	79584	1.43
15.003	70316	1.26
15.007	63729	1.14
15.010	61583	1.11
15.013	61778	1.11
15.017	63399	1.14
15.020	66886	1.20
15.023	70371	1.26
15.027	74987	1.35
15.030	79752	1.43
15.033	84561	1.52
15.037	87385	1.57
15.040	87766	1.58
15.043	86302	1.55
15.047	82296	1.48
15.050	79413	1.43
15.053	77903	1.40
15.057	77761	1.40
15.060	79549	1.43
15.063	81937	1.47
15.067	82322	1.48
15.070	82265	1.48
15.073	79716	1.43
15.077	75037	1.35
15.080	70345	1.26
15.083	66882	1.20
15.087	63367	1.14
15.090	60766	1.09
15.093	60618	1.09
15.097	60549	1.09
15.100	58959	1.06
15.103	58706	1.05
15.107	58670	1.05
15.110	58314	1.05
15.113	58381	1.05
15.117	58026	1.04
15.120	57655	1.03
15.123	57282	1.03
15.127	57279	1.03
15.130	57692	1.04
15.133	58073	1.04
15.137	58209	1.04
15.140	57574	1.03
15.143	57512	1.03
15.147	58187	1.04
15.150	57708	1.04
15.153	56996	1.02
15.157	56151	1.01
15.160	56747	1.02
15.163	57162	1.03
15.167	57237	1.03
15.170	56938	1.02
15.173	56966	1.02
15.177	57059	1.02
15.180	56116	1.01
15.183	55668	1.00
15.187	56346	1.01
15.190	55773	1.00
15.193	54426	0.98
15.197	53785	0.97
15.200	52955	0.95
15.203	53445	0.96
15.207	54101	0.97
15.210	53748	0.96
15.213	53646	0.96
15.217	54183	0.97
15.220	54263	0.97
15.223	54210	0.97
15.227	54669	0.98
15.230	55164	0.99
15.233	56638	1.02
15.237	56989	1.02
15.240	57716	1.04
15.243	59884	1.07
15.247	60162	1.08
15.250	59844	1.07
15.253	58708	1.05
15.257	57619	1.03
15.260	57088	1.02
15.263	56893	1.02
15.267	57014	1.02
15.270	57042	1.02
15.273	56691	1.02
15.277	55676	1.00
15.280	55593	1.00
15.283	54432	0.98
15.287	52678	0.95
15.290	52030	0.93
15.293	52295	0.94
15.297	52354	0.94
15.300	52429	0.94
15.303	51933	0.93
15.307	52711	0.95
15.310	52726	0.95
15.313	52854	0.95
15.317	53112	0.95
15.320	53384	0.96
15.323	53054	0.95
15.327	52127	0.94
15.330	50354	0.90
15.333	49308	0.89
15.337	48957	0.88
15.340	50473	0.91
15.343	50844	0.91
15.347	51390	0.92
15.350	52524	0.94
15.353	53247	0.96
15.357	56321	1.01
15.360	66155	1.19
